"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Credulity",0.00169687674219003,0.00166579729974161,0.000337643950861746,0.000859482014501053,0.000164643117789847,0.000143868867810588,0.000641259542368015,0.000392861362245858,0.0029798752405427
"Mistrust",0.00105317059548977,0.00186314813994602,0.000333046823548078,0.000663813866262761,0.00257420578183052,0.000353285450842349,0.0020278864804151,2.17535404613547e-05,6.1634882442581e-05
"Trust",0.000205420770569135,0.00230240608994746,0.00195155175366235,0.000258595080948473,0.00173500679833193,0.00130566332896579,5.26690685617828e-05,0.00120693742422328,0.000778990080322185
"Social Intelligence",0.00173156618408113,0.000554847590083828,3.73728082923552e-06,0.000879098173095089,0.00162751628707899,0.000135320687619536,0.000927719636100027,0.00287724271259591,0.000338651492128357
"McA-SL",0.00140198941521327,0.000697811046765275,0.000626332338678387,0.00150798605433667,0.000184404999611429,0.00288403027296936,0.00122959244886749,0.000984597353143269,0.000219558481229957
"Autism",0.00125697566350702,5.39000912465237e-06,0.00144426820952248,0.00244535950142498,0.00031988212716514,0.00193195921063151,0.000321142491986961,0.00154257744035708,0.000191887337842412
"Paranoia",0.00160563622944329,0.000631050792786855,3.27752056833642e-05,0.00114401895890475,0.00105394056958034,0.00124549736271097,0.00291646355151985,0.000719779793008166,0.000167202274766804
"ICAR",0.000563371155946398,0.00174664296113833,0.000576599284838127,0.00245983507121405,0.000914217760710065,0.00179829595301138,0.00130262782234944,0.000389231231859651,0.000574972477666887
"Gullibility",0.00167844446654218,0.00176088421258916,0.000883578612742008,0.000794659377673478,0.000232110987899286,0.000594337544662428,0.000779027450991993,0.000843985057765628,0.00263507288254785
"Credulity",0.00153149436062349,0.00233810528238546,6.10536581331035e-05,0.000363377956612549,9.13534593688445e-05,0.000232876156723168,0.000121983395301102,0.000210779897667282,0.00281604913849842
"Mistrust",0.00140905439229756,0.000797824807379944,0.000479963330665348,0.00238340891428211,0.000295313916893172,0.000725328156251848,0.00219161116267905,0.00142555888694227,0.000135460594016571
"Trust",0.000773718423117439,0.00148654055911439,0.00233117871860079,0.000252436585730606,0.00202545349595748,0.000399605247718873,0.000735140864760784,0.00152803950478641,0.000745624223348485
